ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
47860,?.,???????,KRZ,KRZ15,KRZ15-28,3,7,5,1873,08,3041
47874,?.,?????????,VAR,VAR09,VAR09-00,3,7,3,1873,03,3042
47888,?.,?????????,KRZ,KRZ14,KRZ14-22,3,7,5,1873,08,3043
47891,?.,????????,KRZ,KRZ14,KRZ14-00,3,8,6,1873,08,3044
47901,?.,?????????,DOB,DOB15,DOB15-00,3,7,4,1873,24,3045
47915,?.,?????????,SHU,SHU10,SHU10-10,3,7,5,1873,27,3046
47929,?.,???????,KNL,KNL50,KNL50-00,3,8,8,1873,09,3047
47963,?.,?????,PVN,PVN24,PVN24-14,3,6,3,1873,14,3048
47977,?.,?????,RSE,RSE13,RSE13-04,3,6,2,1873,17,3049
47980,?.,?????????,SLV,SLV20,SLV20-27,3,6,3,1873,19,3050
47994,?.,?????????,GAB,GAB05,GAB05-00,3,8,6,1873,07,3051
48009,?.,????????,SFO,SFO20,SFO20-00,3,8,7,1873,22,3052
48012,?.,??????,BLG,BLG44,BLG44-00,3,8,7,1873,01,3053
48026,?.,??????,TGV,TGV02,TGV02-00,3,8,3,1873,25,3054
48037,?.,??????,PER,PER32,PER32-13,3,6,7,1873,13,3055
48043,??.,?????,VRC,VRC28,VRC28-00,1,4,2,1873,06,3056
48057,?.,????????,VTR,VTR13,VTR13-00,3,8,6,1873,04,3057
48060,?.,?????,LOV,LOV36,LOV36-00,3,7,5,1873,10,3058
49686,?.,???????,BLG,BLG49,BLG49-12,3,5,3,1873,01,3059
48074,?.,??????????,KRZ,KRZ16,KRZ16-19,3,6,5,1873,08,3060
48088,?.,???????????,DOB,DOB15,DOB15-00,3,7,4,1873,24,3061
48091,?.,???????????,TGV,TGV35,TGV35-00,3,7,5,1873,25,3062
48101,?.,???????????,JAM,JAM25,JAM25-00,3,7,3,1873,28,3063
48129,?.,????????,SFO,SFO43,SFO43-23,3,6,6,1873,22,3064
48132,?.,????????,SHU,SHU23,SHU23-05,3,6,3,1873,27,3065
48146,?.,????,SML,SML16,SML16-00,3,8,8,1873,20,3066
48152,?.,??????,PDV,PDV28,PDV28-07,3,6,3,1873,15,3067
48177,?.,???????,GAB,GAB35,GAB35-00,3,8,6,1873,07,3068
48194,?.,??????,TGV,TGV02,TGV02-00,3,8,6,1873,25,3070
48204,?.,?????????,PVN,PVN08,PVN08-09,3,5,3,1873,14,3071
48218,?.,???????,SML,SML31,SML31-00,3,8,8,1873,20,3072
48235,?.,????????,GAB,GAB05,GAB05-00,3,8,5,1873,07,3073
48249,?.,?????????,PER,PER51,PER51-00,3,8,7,1873,13,3074
48252,?.,??????????,PER,PER51,PER51-00,3,8,7,1873,13,3075
48266,?.,??????? ????,VID,VID15,VID15-00,3,8,3,1873,05,3076
48278,?.,?????,VTR,VTR04,VTR04-00,3,7,3,1873,04,3077
48283,?.,???????,VTR,VTR13,VTR13-00,3,8,5,1873,04,3078
48297,?.,????????? ????,HKV,HKV19,HKV19-00,3,4,5,1873,26,3079
48307,?.,????????,KRZ,KRZ35,KRZ35-14,3,6,5,1873,08,3080
48324,?.,???????,SFO,SFO56,SFO56-00,3,5,6,1873,22,3081
48338,?.,???????,TGV,TGV35,TGV35-00,3,8,5,1873,25,3082
48341,?.,??????,VTR,VTR31,VTR31-00,3,7,4,1873,04,3083
48369,?.,??????,SFO,SFO20,SFO20-00,3,7,7,1873,22,3084
48372,?.,??????,SZR,SZR04,SZR04-11,3,6,3,1873,23,3085
48386,?.,???????,SHU,SHU22,SHU22-07,3,6,5,1873,27,3086
48393,?.,????????,SOF,SOF46,SOF46-43,3,5,6,1873,21,3087
48409,?.,??????????,BGS,BGS04,BGS04-00,3,8,3,1873,02,3088
48430,?.,????????,VTR,VTR13,VTR13-00,3,8,5,1873,04,3089
48444,?.,???????,PAZ,PAZ19,PAZ19-16,3,6,3,1873,12,3090
48458,?.,??????,BLG,BLG33,BLG33-00,3,7,3,1873,01,3091
48461,?.,????????,SML,SML16,SML16-00,3,7,7,1873,20,3092
48475,?.,????????,MON,MON36,MON36-00,3,7,5,1873,11,3093
48492,?.,?????????,VRC,VRC35,VRC35-04,3,6,2,1873,06,3094
48502,?.,?????????,SZR,SZR31,SZR31-00,3,7,3,1873,23,3095
48516,?.,??????????,GAB,GAB05,GAB05-00,3,8,5,1873,07,3096
48524,?.,???????,VAR,VAR09,VAR09-15,3,6,4,1873,03,3097
48533,?.,???????,HKV,HKV28,HKV28-00,3,8,5,1873,26,3098
48547,?.,?????????,SML,SML09,SML09-00,3,5,6,1873,20,3099
48550,?.,???????,VTR,VTR22,VTR22-11,3,6,2,1873,04,3100
48564,?.,???????,PDV,PDV37,PDV37-00,3,7,5,1873,15,3101
48578,?.,???????,BLG,BLG33,BLG33-29,3,5,3,1873,01,3102
48581,?.,???????,GAB,GAB35,GAB35-00,3,8,5,1873,07,3103
48605,?.,????????,GAB,GAB05,GAB05-00,3,8,5,1873,07,3104
48622,?.,????????,KRZ,KRZ08,KRZ08-09,3,6,6,1873,08,3105
48636,?.,?????????? ???,VTR,VTR04,VTR04-00,3,8,5,1873,04,3106
48653,?.,????? ???????,VAR,VAR08,VAR08-00,3,7,3,1873,03,3107
